17	155729	155727	-2
17	334778	334772	-6
17	648704	648663	-41
17	1054520	1054495	-25
17	1117113	1117112	-1
17	1117128	1117129	1
17	1118190	1118189	-1
17	1118348	1118349	1
17	1120256	1120255	-1
17	1123200	1123199	-1
17	1131210	1131208	-2
17	1131664	1131665	1
17	1131842	1131841	-1
17	1132377	1132374	-3
17	1135957	1135956	-1
17	1137006	1137009	3
17	1137011	1137016	5
17	1137012	1137009	-3
17	1137442	1137440	-2
17	1139107	1139105	-2
17	1141764	1141765	1
17	1143470	1143452	-18
17	1146260	1146270	10
17	1146619	1146603	-16
17	1146892	1146883	-9
17	1152282	1152279	-3
17	1794007	1794009	2
17	3221657	3221662	5
17	4171155	4171156	1
17	5383566	5383591	25
17	5383589	5383614	25
17	6652226	6652225	-1
17	7513774	7513772	-2
17	7566968	7566969	1
17	8821896	8821895	-1
17	14021510	14021511	1
17	15440207	15440204	-3
17	18594745	18594744	-1
17	21253217	21253216	-1
17	21481299	21481298	-1
17	21484057	21484073	16
17	21484066	21484082	16
17	21499425	21499424	-1
17	21505067	21505064	-3
17	21518434	21518435	1
17	21536695	21536697	2
17	21536705	21536707	2
17	21536709	21536711	2
17	21536720	21536722	2
17	21576641	21576643	2
17	21576651	21576653	2
17	21576658	21576660	2
17	21576664	21576666	2
17	21576672	21576674	2
17	21576676	21576678	2
17	21606532	21606533	1
17	21638455	21638441	-14
17	21657667	21657641	-26
17	21657723	21657717	-6
17	21660441	21660442	1
17	21660853	21660852	-1
17	21660974	21660975	1
17	21775853	21775852	-1
17	22046686	22046685	-1
17	22046721	22046720	-1
17	22047224	22047225	1
17	22049453	22049454	1
17	22050368	22050369	1
17	22050464	22050465	1
17	22059701	22059702	1
17	22059705	22059706	1
17	22064831	22064842	11
17	22073270	22073268	-2
17	22407471	22407475	4
17	22475534	22475535	1
17	22476934	22476933	-1
17	22477820	22477819	-1
17	22481735	22481739	4
17	22511923	22511920	-3
17	28357364	28357363	-1
17	28357504	28357502	-2
17	28360875	28360874	-1
17	28365202	28365201	-1
17	28372347	28372346	-1
17	28397855	28397852	-3
